Title,Director,Cast,Genre,Year
His Trysting Place,Charlie Chaplin,"Charlie Chaplin, Mabel Normand",Comedy,1914
"Home, Sweet Home",D. W. Griffith,"Earle Foxe, Henry B. Walthall, Dorothy Gish",Biographical drama,1914
The Hopes of Blind Alley,Allan Dwan,"Murdock MacQuarrie, Pauline Bush",Drama,1914
The Hunchback,Christy Cabanne,"F. A. Turner, William Garwood, Lillian Gish",Drama,1914
Imar the Servitor,,William Garwood,Drama,1914
In Tune,Henry Otto,"Charlotte Burton, Edward Coxen, George Field, Winifred Greenwood",,1914
In the Candlelight,Tom Ricketts,"William Garwood, Charlotte Burton",,1914
In the Land of the Head Hunters,Edward S. Curtis,,Documentary drama,1914
In the Open,Sydney Ayres,"William Garwood, Louise Lester",,1914
Jail Birds,Sydney Ayres,"William Garwood, Charlotte Burton",,1914
Judith of Bethulia,D. W. Griffith,"Blanche Sweet, Henry B. Walthall",Biblical drama,1914
The Jungle,"Augustus E. Thomas, George Irving, John H. Pratt","George Nash, Gail Kane, Julia Hurley",Drama,1914
Kid Auto Races at Venice,Henry Lehrman,Charlie Chaplin,Comedy,1914
The Kiss,Ulysses Davis,"Ella Margaret Gibson, George Holt, William Desmond Taylor",Drama,1914
The Knockout,Charles Avery,"Charlie Chaplin, Fatty Arbuckle, Edgar Kennedy",Comedy,1914
Laughing Gas,Charlie Chaplin,"Charlie Chaplin, Fritz Schade",Comedy,1914
The Life of General Villa,"Christy Cabanne, Raoul Walsh","Pancho Villa, Irene Hunt, Raoul Walsh",Drama,1914
Little Lord Fauntleroy,F. Martin Thornton,"H. Agar Lyons, Fred Eustace, Edward Viner",Drama,1914
A Little Madonna,Ulysses Davis,"William Desmond Taylor, Patricia Palmer",Drama,1914
The Livid Flame,Francis J. Grandon,"Earle Foxe, Lafe McKee",Drama,1914
The Lost Sermon,,"William Garwood, Harry De Vere, Harry von Meter",,1914
Love and Bullets,Fatty Arbuckle,"Fatty Arbuckle, Phyllis Allen, Charley Chase",Comedy,1914
The Lover's Gift,,"Earle Foxe, Mary Alden, Francelia Billington",,1914
"Lucille Love, Girl of Mystery",Francis Ford,"Grace Cunard, Francis Ford, Harry Schumm, John Ford",Action serial,1914
The Lure of the Sawdust,Tom Ricketts,"Charlotte Burton, George Field, Edward Coxen",Drama,1914
Mabel at the Wheel,"Mabel Normand, Mack Sennett","Charlie Chaplin, Mabel Normand",Comedy,1914
Mabel's Blunder,Mabel Normand,"Mabel Normand, Charly Chase, Al St. John",Comedy,1914
Mabel's Busy Day,Mabel Normand,"Charlie Chaplin, Mabel Normand",Comedy,1914
Mabel's Married Life,Charlie Chaplin,"Charlie Chaplin, Mabel Normand",Comedy,1914
Mabel's Strange Predicament,Henry Lehrman,"Charlie Chaplin, Mabel Normand",Comedy,1914
The Magic Cloak of Oz,J. Farrell MacDonald,"Juanita Hansen, Violet MacMillan, Mildred Harris",Fantasy drama,1914
Making a Living,Henry Lehrman,"Charlie Chaplin, Virginia Kirtley, Alice Davenport",Comedy,1914
The Man from Home,Cecil B. DeMille,"Charles Richman, Theodore Roberts, Fred Montague",Drama,1914
A Man's Way,Sydney Ayres,"William Garwood, Charlotte Burton, Louise Lester",,1914
The Masquerader,Charlie Chaplin,"Charlie Chaplin, Fatty Arbuckle",Comedy,1914
The Master Key,Robert Z. Leonard,"Robert Z. Leonard, Ella Hall",Serial,1914
The Master Mind,"Oscar Apfel, Cecil B. DeMille","Edmund Breese, Fred Montague, Jane Darwell",Crime drama,1914
Mein Lieber Katrina,,"Charlotte Burton, George Field, Ida Lewis",Comedy,1914
Michael Strogoff,Lloyd B. Carleton,"Jacob P. Adler, Daniel Makarenko, Eleanor Barry",Drama,1914
Mein Lieber Katrina Catches a Convict,Tom Ricketts,"Charlotte Burton, Harry De Vere, Perry Banks",Comedy,1914
Mrs. Wiggs of the Cabbage Patch,Harold Entwistle,"Beatriz Michelena, House Peters",Comedy drama,1914
The Mystery of the Hindu Image,Raoul Walsh,"Raoul Walsh, Dark Cloud, Eagle Eye",Drama,1914
Nature's Touch,Sydney Ayres,"William Garwood, Jack Richardson, Louise Lester",,1914
The Navy Aviator,"Sydney Ayres,","Sydney Ayres, Caroline Cooke, Jack Richardson",,1914
Neptune's Daughter,Herbert Brenon,"Annette Kellerman, William E. Shay, William Welsh",Fantasy,1914
The New Janitor,Charlie Chaplin,"Charlie Chaplin, Jess Dandy, John T. Dillon",Comedy,1914
Old Enough to Be Her Grandpa,Tom Ricketts,"Charlotte Burton, William Garwood",Comedy,1914
The Only Son,"Oscar Apfel, Cecil B. DeMille","Jim Blackwell, Jane Darwell",,1914
The Patchwork Girl of Oz,J. Farrell MacDonald,"Violet MacMillan, Pierre Couderc",Fantasy drama,1914
The Perils of Pauline,Louis J. Gasnier,Pearl White,Adventure serial,1914
The Power of Light,Lorimer Johnston,"Charlotte Burton, Sydney Ayres, Jacques Jaccard",Drama,1914
The Property Man,Charlie Chaplin,"Charlie Chaplin, Phyllis Allen, Alice Davenport",Comedy,1914
Recreation,Charles Chaplin,Charles Chaplin,Comedy,1914
Redbird Wins,Sydney Ayres,"Perry Banks, William Garwood",,1914
The Redemption of a Pal,Henry Otto,"Edith Borella, Charlotte Burton, George Field",Drama,1914
Richelieu,Allan Dwan,"Murdock MacQuarrie, William C. Dowlan",Biopic,1914
The Rose Bush of Memories,,"Earle Foxe, Mary Alden, Francelia Billington",,1914
Rose of the Rancho,Cecil B. DeMille,"Bessie Barriscale, Jane Darwell, Jeanie MacPherson",Western,1914
"Rosemary, That's for Remembrance",Francis J. Grandon,"Earle Foxe, Adda Gleason",Drama,1914
The Rounders,Charlie Chaplin,"Charlie Chaplin, Fatty Arbuckle, Phyllis Allen",Comedy,1914
Salomy Jane,William Nigh,"Beatriz Michelena, House Peters",Western,1914
Samson,J. Farrell MacDonald,"J. Warren Kerrigan, George Periolat, Lule Warrenton",Drama,1914
Shotgun Jones,Colin Campbell,Wheeler Oakman,Western,1914
Should a Woman Divorce?,Edwin McKim,"Lea Leland, Leonid Samoloff",Drama,1914
Sir Galahad of Twilight,Sydney Ayres,"Perry Banks, B. Reeves Eason, William Garwood",Drama,1914
The Sleeping Sentinel,,,Historical drama,1914
A Slice of Life,Tom Ricketts,"Charlotte Burton, Perry Banks",,1914
The Son of Thomas Gray,William Desmond Taylor,"Virginia Fordyce, Sydney Ayres, Jacques Jaccard",,1914
The Song of the Sea Shell,William Desmond Taylor,"Edith Borella, Charlotte Burton, George Field",Drama,1914
A Soul Astray,William Desmond Taylor,"Charlotte Burton, William Bertram, Edith Borella",,1914
The Sower Reaps,Tom Ricketts,"William Garwood, Harry von Meter, Vivian Rich",Drama,1914
Sparrow of the Circus,,"B. Reeves Eason, Jack Richardson",,1914
The Spoilers,Colin Campbell,"William Farnum, Kathlyn Williams, Tom Santschi",Drama,1914
The Squaw Man,"Oscar Apfel, Cecil B. DeMille",Dustin Farnum,Western,1914
The Star Boarder,George Nichols,"Charlie Chaplin, Minta Durfee, Edgar Kennedy, Alice Davenport, Gordon Griffith",Comedy,1914
A Story of Little Italy,William Desmond Taylor,"Sydney Ayres, Jacques Jaccard, Jack Richardson, Vivian Rich, Harry von Meter",,1914
The Story of the Olive,Sydney Ayres,"Sydney Ayres, Perry Banks, Edith Borella, Caroline Cooke, Harry von Meter",,1914
The Strength o' Ten,Tom Ricketts,"William Garwood, Harry von Meter",Drama,1914
A Study in Scarlet,Francis Ford,"Francis Ford, Grace Cunard, John Ford",,1914
Sweet and Low,William Desmond Taylor,"William Garwood, Harry von Meter",Drama,1914
Such a Little Queen,"Edwin S. Porter, Hugh Ford","Mary Pickford, Harold Lockwood",Comedy,1914
The Taming of Sunnybrook Nell,Sydney Ayres,"William Garwood, Louise Lester, B. Reeves Eason",,1914
