Title,Director,Cast,Genre,Year,new_Genre
Mechanic Mavayya,Rajendra Singh,"Rajasekhar, S. P. Balasubrahmanyam, Rambha, Paresh Rawal",unknown,1999,unknown
Naa Hrudayamlo Nidurinche Cheli,AVS Adi Narayana,"Vadde Naveen, Laila Mehdin, Ali",unknown,1999,unknown
Nee Kosam,Srinu Vaitla,"Ravi Teja, Maheshwari",unknown,1999,Action Drama
Neti Gandhi,E. V. V. Satyanarayana,"Rajasekhar, Raasi",unknown,1999,unknown
Panchadara Chilaka,Kodi Ramakrishna,"Srikanth, Kausalya",unknown,1999,unknown
Pilla Nachindi,E. V. V. Satyanarayana,"Srikanth, Sanghavi, Rachana Banerjee",unknown,1999,unknown
Pedda Manushulu,Boyina Subba Rao,"Suman, Rachna Banerjee, Heera Rajgopal",unknown,1999,unknown
Prema Katha,Ram Gopal Varma,"Sumanth, Antara Mali, Manoj Bajpai",unknown,1999,Action Romance
Premaku Velayera,S. V. Krishna Reddy,"J. D. Chakravarthy, Soundarya, Prakash Raj, Ravi Teja",unknown,1999,Comedy Drama
Preminche Manasu,AVS Adi Narayana,"Vadde Naveen, Keerthi Reddy, Ravi Teja, Srihari",unknown,1999,unknown
Preyasi Raave,Chandra Mahesh,"Srikanth, Raasi, Sanghavi",unknown,1999,unknown
Raja,Muppulaneni Siva,"Daggubati Venkatesh, Soundarya, Abbas",unknown,1999,Drama
Raja Kumarudu,K. Raghavendra Rao,"Mahesh Babu, Preity Zinta, Prakash Raj",unknown,1999,unknown
Rajasthan,R. K. Selvamani,"Sharath Kumar, Vijayashanti",unknown,1999,unknown
Ramasakkanodu,Sagar,"Suman, Maheshwari, S. P. Balasubrahmanyam",unknown,1999,unknown
Ravoyi Chandamama,Jayanth C. Paranjee,"Nagarjuna Akkineni, Anjala Zhaveri, Keerthi Reddy, Jagapati Babu",unknown,1999,Drama Romance
Sambayya,K. S. Nageswara Rao,"Srihari, Radhika Chaudhari, Prakash Raj",unknown,1999,unknown
Samarasimha Reddy,B. Gopal,"Nandamuri Balakrishna, Simran Bagga, Anjala Zhaveri, Sanghavi",unknown,1999,Action
Samudram,Krishna Vamsi,"Jagapati Babu, Sakshi Shivanand, Ravi Teja, Prakash Raj",unknown,1999,unknown
Seenu,Sashi,"Daggubati Venkatesh, Twinkle Khanna, Prakash Raj",unknown,1999,Romance
Seetharama Raju,YVS Chowdhary,"Nagarjuna Akkineni, Sakshi Shivanand, Harikrishna Nandamuri, Sanghavi",unknown,1999,unknown
Sneham Kosam,K. S. Ravikumar,"Chiranjeevi, Meena Durairaj, Vijayakumar, Raadhika",unknown,1999,Drama Family
Speed Dancer,Muppalaneni Shiva,"Raghava Lawrence, Monica Bedi",unknown,1999,unknown
Sri Ramulayya,Nimmala Shankar,"Mohan Babu, Soundarya, Brahmanandam, Chalapathi Rao",unknown,1999,unknown
Sultan,Sarath,"Nandamuri Balakrishna, Deepti Bhatnagar, Krishnam Raju, Krishna, Roja Selvamani, Rachana Banerjee",unknown,1999,unknown
Swapnalokam,Bhimaneni Srinivasa Rao,"Jagapati Babu, Raasi, Brahmanandam",unknown,1999,unknown
Swayamvaram,K. Vijaya Bhaskar,"Venu, Laya, Sunil",unknown,1999,Drama Romance
Thammudu,P. A. Arun Prasad,"Pawan Kalyan, Aditi Gowitrikar, Preeti Jhangiani, Kamal Kumar",unknown,1999,Drama Action
Veedu Samanyudu Kadhu,Uppalapati Narayana,"Prakash Raj, Raasi, Sanghavi",unknown,1999,unknown
Velugu Needalu,Mourya,"Venkat, Meena, Brahmanandam",unknown,1999,unknown
Vichitram,Jandhyala,"Gajjal Srinivas, Charmy Kaur, Brahmanandam",unknown,1999,unknown
Yamajathakudu,Nimmala Shankar,"Mohan Babu, Sakshi Shivanand, Rajendra Prasad, Brahmanandam",unknown,1999,unknown
