Title,Director,Cast,Genre,Year,new_Genre
The Conqueror a.k.a. Veer Na Ver,Moti B. Gidwani,Master Vithal Gohar,Action,1930,Action
The Curse a.k.a. Garib ni Hai,Asooji,"Asooji, Joshi, Miss Salu, Sarla",Costume,1930,Costume
The Tigress a.k.a. Vifreli Waghan,Nanubhai Vakil,"Ishwarlal, Putli, Bhagwat, Manila",Costume,1930,Costume
The Tyrant,Harshadbhai Desai,"Laxmi, Bachchu, Ganpat Bakre, Sharda",Costume,1930,Costume
The Valiant a.k.a. Mard Ka Bachcha,Prafulla Ghosh,"Haidar Shah, Rampyari, Abdul Pahelwan",Social,1930,Social
Triumph of Love a.k.a. Rasili Rani,Nagendra Majumdar,"Madhuri, P. Jairaj, Mohan",Costume,1930,Costume
Udaykal a.k.a. Thunder of the Hills,"V. Shantaram, Keshavrao Dhaiber","V. Shantaram, Kamala Devi, Baburao Pendharkar, Bazar Battoo, G. R. Mane, Ebrahim, Keshavrao Dhaiber",Historical,1930,Historical
Valiant Princess,Kanjibhai J. Rathod,"Gulab, Baburao Apte, Noor Mohammed Charlie, Pawar, Ghanshyam,",Costume,1930,Costume
Veer Rajput,Naval Gandhi,"Zubeida, Jal Khambata, Lovji Lavangia, Rupmati",Costume,1930,Costume
Vijay Kumar,H. M. Reddy,"Prithviraj Kapoor, Ermeline, Mazhar Khan, Jamshedji, Khansaheb, Jilloobai",Historical,1930,Historical
Vijeta a.k.a. Victor,Gunjal,"Boman Shroff, Jayshree Janki, Sayani Atish, Dwarki",Costume,1930,Costume
Wages Of Virtue a.k.a. Satto Na Mad,Harshadrai Mehta,"Jani Babu, Navinchandra, Prabha Shankar, Lobo, Ata Mohammed",Social,1930,Social
Yasmina,Prafulla Ghosh,"Rampyari, Abdel Pahelwan, Hydershah, Arab Sandow",Costume,1930,Costume
Daulat Ka Nasha,Pesi Irani,"Master Vithal, Khalil, Tarabai, Hadi, Jilloobai, Jamshedji, Makand",Social,1931,Social
Debi Choudhrani,Priyanath Ganguly,"Anupama, Kartik Roy, Naresh Mitra, Rani Sundari, Shyam Mukherjee, Nani",Social,1931,Social
Devi Devyani,Chandulal Shah,"D. Billimoria, Gohar Mamajiwala, Bhagwandas, Keki Adjania, Miss Kamla, Baburao Sansare, Baba Vyas, Sudhir",Mythology,1931,Mythology
Diler Daku,"JBH Wadia, Homi Wadia","Fatma Jr, Yashwant Dave, Mumtaz",Action,1931,Action
Draupadi,Bhagwati Prasad Mishra,"Prithviraj Kapoor, Ermeline, Khalil, Jagdish Sethi, Jilloobai, Rustom Irani, Nayampally, Hadi, Elizer",Mythology,1931,Mythology
Farebi Daku a.k.a. Mysterious Bandit,Abdul Rashid Kardar,"Gul Hamid, Gulzar, Nazir, M. Ismail, Hiralal",Action,1931,Action
Farebi Shahzada,A. R. Kardar,"Gul Hamid, Gulzar, Nazir, M. Ismail, Hiralal",Costume Action,1931,Costume Action
Fauladi Firman a.k.a. Fists of Steel,Baburao,"Wamanrao Kulkarni, Master Bachchu, Jen, Baburao Gade",Action,1931,Action
Harishchandra,Kanjibhai Rathod,"Haidar Shah, Neelam, Kashinath, Master Mohammed, Fateh Shah",Mythology,1931,Mythology
Heer Ranjha,J. P. Advani,"Shanta Kumari, Master Fakir",Legend Romance,1931,Legend Romance
Iraq Ka Chor,K. P. Bhave,"Sushila, Vasantrao Pehalwan",Costume Action,1931,Costume Action
Jamai-Babu,Kalipada Das,"Kalipada Dass, Radharani, Pravat Coomar, Sibapada Bhowmick, Amulya Bandhopadhay, Rajen Barooah, Sadhana Devi",Comedy,1931,Comedy
Kamar Al-Zaman,Gazanfarali Shah,"W. M. Khan, Sultana, Pramila, Mazhar Khan, Cho Cho Lam, Jamshedji, Manorama Sr, Tarabai, Hansraj",Costume,1931,Costume
Khooni Katar a.k.a. Golden Dagger,Abdul Rashid Kardar,"Miss Gulzar, Gul Hamid, M. Ismail, Hiralal, Ghulam Qadir, M. Zahoor",Action,1931,Action
Kismet Ki Hera Pheri,R. L. Shorey,"Haider Shah, Zohrajan, Maqbul, Miss Sardar, Abdul Rashid Kardar, Harold Lewis (Majnu), Hukum Singh, Kamla Devi",Costume,1931,Costume
Laila Majnu 1,J. J. Madan,"Jehanara Kajjan, Master Nissar, Shaila",Legend Romance,1931,Legend Romance
Laila Majnu 2,Kanjibhai Rathod,"Haider Shah, Rampyari, Rafiq Ghaznavi, Mangle, Fatehsingh, Ali Bux",Legend Romance,1931,Legend Romance
Namak Haram Kon a.k.a. A Bid For The Throne,Madanrai Vakil,"Prithviraj Kapoor, Ermiline, Mubarak, Leelavati, Jagdish Sethi, Zaverbhai Qaiser",Costume,1931,Costume
Noor Jahan,Ezra Mir,"Mazhar Khan, Vimala, Mubarak, Nayampally, Jamshedji, Hadi, Jilloobai, Zaverbhai",Historical Drama,1931,Historical Drama
Raj Tilak,Madanrai Vakil,"Mazhar Khan, Ermeline, Mehboob Khan, Rustam Irani, Elizer, Gohar",Costume,1931,Costume
Samaj Ka Shikar,M. Gidwani,"Patience Cooper, Gul Hamid, Master Mohan, Sharifa",Social,1931,Social
Satyawadi Raja Harishchandra,J. J. Madan,"Jehanara Kajjan, Mohammed Nawab, Patience Cooper, Sharifa,",Mythology,1931,Mythology
Sea Goddess a.k.a. Dariani Devangana,Dhirubhai Desai,"Padma Devi, Zebunissa, Chandra Rao Kadam, Pawar, Ata Mohammed",Fantasy,1931,Fantasy
Shakuntala 1,J. J. Madan,"Master Nissar, Jehanara Kajjan, Shehla, Nawab, Sharifa",Mythology,1931,Mythology
Shakuntala 2,M. Bhavnani,"Zebunissa, Ashraf Khan, Zahiruddin, A. P. Kapoor, Najju Begum, Ranibala, Prabhashankar, Dinkar Bidkar",Mythology,1931,Mythology
Shirin Farhad,J. J. Madan,"Master Nissar, Jehanara Kajjan, Mohamed Hussain, Master Mohan, Sharifa, Abdul Rehman Kabuli",Legend Romance,1931,Legend Romance
Toofani Taruni,Bhagwati Prasad Mishra,"Yakub, Ermeline, Jal Merchant, Laxmi",Action,1931,Action
Trapped a.k.a. Farebi Jaal,M. Bhavnani,"Durga Khote, Jal Khambata, Enakshi Rama Rau, Master Vasant, Sushila, Annapurna, Talpade",Social,1931,Social
Veer Abhimanyu,Prafulla Ghosh,"Zubeida, Yakub, Jal Merchant, Baburao Sansare, Mehboob Khan, Sankatha Prasad, Jilloobai",Mythology,1931,Mythology
Char Chakram,Jayant Desai,"E. Billimoria, Shanta Kumari, Ishwarlal, Kamla Devi, Dixit, Ghory, Keki Adjania",Comedy,1932,Comedy
Chatra Bakavali,J.J. Madan,"Master Nissar, Jehanara Kajjan, Patience Cooper, Valatoo, Mukhtar Begum, A. R. Kabuli, Shaihla",Fantasy,1932,Fantasy
Dagabaz Ashiq,Pesi Karani,"Prithviraj Kapoor, Zohrajan, Mushtari, Baldev Singh, Rustam Poonawala, Jamshedji Khansaheb",Costume,1932,Costume
Do Badmash,Jayant Desai,"Shanta Kumari, Dixit, Ghory",Social,1932,Social
Gul Bakavali,A. P. Kapoor,"Ashraf Khan, Zebunissa, Ranibala, Ghulam Moammed, Prabha Shankar, Najju Begum, Zahiruddin, Kasim Ali",Legend,1932,Legend
Gulru Zarina,J. J. Madan,"Master Nissar, Jehanara Kajjan, A. R. Kabuli, Sorabji Kerawala",Fantasy,1932,Fantasy
Hathili Dulhan,J. J. Madan,"Patience Cooper, Leela, Laxmi, Abbas, Shaila, Mukhtar Begum",Social,1932,Social
Heer Ranjha,Abdul Rashid Kardar,"Rafiq Ghaznavi, Shanta Kumari, Anwari, M. Esmail, Master Fakir",Legend Romance,1932,Legend Romance
Indrasabha,J. J. Madan,"Master Nissar, Jehanara Kajjan, Mukhtar Begum, A. R. Kabuli, Violet Cooper, Sylvia Bell, Wilayat Hussain, Pearl, Bira Pahelwan",Fantasy,1932,Fantasy
Sati Madalsa,B. P. Misra,"D. Billimoria, Ermiline, Hadi",Mythology,1932,Mythology
Sati Savitri,Chandulal Shah,"Gohar Mamajiwala, Tarabai, Kamla, Baburao Sansare, Zafar Khan, Keki Adjania, Ghory, Bhagwandas, Shanta",Mythology,1932,Mythology
Sati Sone,Madanrai Vakil,"Jamshedji, Mushtari, Boman Shah, Khansaheb, Jilloobai, Hadi, Mukunda",Mythology,1932,Mythology
Sassi Punnu,"S. R. Apte, Chimanlal Luhar","Baburao Apte, Shivrani Ghosh, Majid, Lobo, Nandram, Athavale, Majumdar, Bhagwandas, Himmatwala, Sushila",Legend Romance,1932,Legend Romance
Sheil Bala,Chandulal Shah,"Gohar Mamajiwala, Bhagwandas, Tarabai, Kamla, Baburao Sansare, Zafar Khan, Keki Adjania, Ghory, Shanta, Gangaprasad Pathak",Costume,1932,Costume
Shikari,Naval Gandhi,"P. Jairaj, Sita Devi, Jagdish Sethi, Shahzadi, Jal Khambata, Lovji Lavangia, B. Khan, Udwadia",Social,1932,Social
Shravan Kumar,A. R. Kabuli,"Yusuf Effendi, Panna, A. R. Kabuli, Mukhtar Begum",Mythology,1932,Mythology
Shyam Sunder,Bhal G. Pendharkar,"Shahu Modak, Shanta Apte, Raja Sandow, [], Baburao Apte",Mythology,1932,Mythology
Subah Ka Sitara,Premankur Atorthy,"K. L. Saigal, Rattanbai, Mazhar Khan, A. M. Shiraji, Sheela, Ansari, Siddiqui, Ali Mir",Costume,1932,Costume
Subhadara Haran,Prafulla Ghosh,"Zubeida, Master Bachchu, Yakub, Sankatha Prasad, Jal Merchant, Khatoon, Shivram",Mythological,1932,Mythological
Toofan Mail,JBH Wadia,"Yashwant Dave, Padma, Narayan Pai, Adi Patel, Manchi Thuthi, JBH Wadia",Action,1932,Action
Vanraj Kesari,Harshadrai Mehta,"Navinchandra, Padma, Vasant Bhandari, Baburao Apte, Bhim, Bhagwandas, Lobo",Action,1932,Action
Veer Kunal a.k.a. Son Of Ashoka,"M. Bhavnani, G. Deware","Mubarak, Sunalini Devi, Mehtab, Ashraf Khan, Zahiruddin, Miss Iqbal, Zafar Khan",Historical Drama,1932,Historical Drama
Zarina,Ezra Mir,"Zubeida, Jal Merchant, Yakub, Baburao, Nayampally, Sanhatha Prasad, Charlie",Costume,1932,Costume
Zinda Lash,Premankur Atorthy,"K. L. Saigal, Mahajabeen, Rani, Bikram Kapoor, Ansari, Hafisji,Hamid, Siddiqui",Costume,1932,Costume
Pandav Kaurav,Nanubhai Vakil,"Zubeida, Master Bachchu, Jal Merchant, Khatoon, Mehboob Khan, S. Baburao",Mythology,1933,Mythology
Pardesi Pritam,Nandlal Jaswantal,"Madhuri, E. Billimoria, Shanta Kumari, Raja Sandow, Keki Adjania, Charubala",Costume,1933,Costume
Patit Pawan,Nagendra Majumdar,"Durga Khote, P. Jairaj, Kashinath, Madhukar Gupta, Majumdar, R. Veena, Nurjahan, K. Gore",Religious,1933,Religious
Prem Ka Nasha,N. Majumdar,"Sorabji Kerawala, Jehanara Kajjan, Surajram, Kabuli",Social,1933,Social
Premi Pagal,Ezra Mir,"Mehboob Khan, Charlie, Kamlabai, Master Bachchu, Khatoon, Kayam Ali, Asooji",Social,1933,Social
Prithviraj Sanyogita,Narayanrao Sarpotdar,"Padma Devi, Navinchandra, Rafiq Ghaznavi, Kishori, Altekar, Datar",Historical Romance Drama,1933,Historical Romance Drama
Puran Bhagat,Debaki Bose,"K. L. Saigal, Uma Shashi, Molina Devi, Tarabai, Kumar, Bikram Kapoor, K. C. Dey, Anwaribai, Ansari",Devotional Biopic,1933,Devotional Biopic
Radha Krishna,"Priyanath Ganguly, Tulsi Lahiri","Sabita Devi, Dhiraj Bhattacharya, Indubala, Amar Chowdhury, Angurbala, Bimal Dasgupta, Kamala Jharia, Lakshmi, K. Mukhopadhyay, Saraswati",Religious,1933,Religious
Raja Gopichand,B. M. Shukla,"H. C. Bali, Jaddanbai, Ramkrishna Chaube, Devbala, Ismail, Sita Devi",Legend Drama,1933,Legend Drama
