Title,Director,Cast,Genre,Year
Poola Rangadu,Adurthi Subba Rao,"Akkineni Nageswara Rao, Jamuna, Vijaya Nirmala, Chittor V. Nagaiah",Drama,1967
Prana Mithrulu,P. Pullaiah,"A. Nageswara Rao, Jaggayya",Drama,1967
Private Master,K. Vishwanath,"Ram Mohan, Kanchana",Musical,1967
Punyavathi,Dada Mirasi,"Padma Shri N. T. Rama Rao, Krishna Kumari, Padma Shri Chittor V. Nagaiah, S. V. Ranga Rao, Padma Shri Bhanumathi Ramakrishna, Pandaribai, Haranath, Jyothi Lakshmi, Sobhan Babu, Allu Ramalingayya",Family Drama,1967
Rahasyam,Vedantam Raghavaiah,"Akkineni Nageswara Rao, B. Saroja Devi, Kanta Rao",Drama,1967
Saakshi,Bapu,"Ghattamaneni Krishna, Vijaya Nirmala",Drama,1967
Sati Sumathi,Vedantam Raghavaiah,"Kanta Rao, Anjali Devi",Drama,1967
Shri Krishnavataram,Kamalakara Kameshwara Rao,"N. T. Rama Rao, Devika, Ramakrishna, Shobhan Babu",,1967
Sri Sri Sri Maryada Ramanna,K. Hemambharadhara Rao,"B. Padmanabham, Gitanjali",,1967
Stree Janma,K. S. Prakash Rao,"N. T. Rama Rao, Krishna Kumari",Drama,1967
Sudigundaalu,Adurthi Subba Rao,"Akkineni Nageswara Rao, Vijayachander, Ram Mohan, Pushpavalli",Drama,1967
Ummadi Kutumbam,D. Yoganand,"N. T. Rama Rao, Vanisree, Kaikala Satyanarayana, Krishna Kumari, M. Prabhakar Reddy, Savitri",Drama,1967
Vasantha Sena,B. S. Ranga,"A. Nageswara Rao, Anjali Devi, Padmini",,1967
Veera Pooja,A. V. Seshagiri Rao,"T. L. Kantha Rao, Kanchana",,1967
Akhandudu,V. Ramachandra Rao,"Krishna, Bharathi, Prabhakar Reddy",,1970
Akka Chellelu,A. Sanjeevi,"Akkineni Nageshwara Rao, Sowcar Janaki, Vijaya Nirmala, Krishna",,1970
Ali Baba 40 Dongalu,B. Vittalacharya,"NTR, Jayalalitha",,1970
Amma Kosam,B V Prasad,"Krishnam Raju, Anjali Devi, Krishna Ghattamaneni",,1970
Balaraju Katha,Bapu,"Master Prabhakar, Nagabhushanam, Suryakantham",,1970
Chitti Chellelu,M. Krishnan Nair,"NTR, Vanisri, Rajasree",,1970
Desamante Manushuloyi,C. S. Rao,"Sobhan Babu, S. V. Ranga Rao",,1970
Dharma Daata,Sanjeevi,"Akkineni Nageshwara Rao, Kanchana",,1970
Drohi,Kovelamudi Bapayya,"Kongara Jaggaiah, Vanisree",,1970
Jai Jawan,D. Yoganand,"Akkineni Nageshwara Rao, Varalakshmi, Bharathi",,1970
Kathanayika Molla,Basavaraju Venkata Padmanabha Rao,"Vanisree, Haranath, B. Padmanabham, Shobhan Babu",,1970
Kodalu Diddina Kapuram,D. Yoganand,"NTR, Savitri, Vanisri",,1970
Lakshmi Kataksham,B. Vittalacharya,"NTR, K. R. Vijaya, Rajasri",,1970
Maa Manchi Akkayya,,K. R. Vijaya,,1970
Maa Nanna Nirdhoshi,K. V. Nandana Rao,"Krishna, Vijaya Nirmala, Baby Sridevi",,1970
Malli Pelli,C. S. Rao,"Krishna, Krishnam Raju, Vijaya Nirmala",,1970
Marina Manishi,C. S. Rao,"NTR, Vijaya Nirmala",,1970
Maro Prapancham,Adhuruthi Subbarao,"Akkineni Nageshwara Rao, Savitri, Gummadi",,1970
Mayani Mamata,Kamalakara Kameshwara Rao,"NTR, B. Saroja Devi, Sobhan Babu",,1970
Merupu Veerudu,B. Harinarayana,"Kanta Rao, Rajasri",,1970
Oke Kutumbham,A. Bhimsingh,"NTR, Lakshmi, Kanta Rao",,1970
Pelli Koothuru,V. Ramachandra Rao,"Krishnam Raju, Sowcar Janaki",,1970
Pelli Sambandham,K. Varaprasad Rao,"Krishna Ghattamaneni, Vanisree, Krishnam Raju",,1970
Pettandarulu,C. S. Rao,"NTR, Savitri",,1970
Sambarala Rambabu,Sheshagiri Rao,"Chalam, Sharada, Allu Ramalingaiah",,1970
Thaali Bottu,T. Madhusudhan Rao,"Krishna Ghattamaneni, Vijaya Nirmala",,1970
