Title,Director,Cast,Genre,Year,new_Genre
Titanic,James Cameron,"Leonardo DiCaprio, Kate Winslet, Billy Zane, Frances Fisher, Victor Garber, Kathy Bates, Bill Paxton, Gloria Stuart, David Warner, Suzy Amis","Historical Epic, Disaster",1997,"Historical Epic, Disaster"
Tomorrow Never Dies,Roger Spottiswoode,"Pierce Brosnan, Jonathan Pryce, Michelle Yeoh",Action,1997,Action
Top of the World,Sidney J. Furie,"Peter Weller, Dennis Hopper",Drama,1997,Drama
Touch,Paul Schrader,"Bridget Fonda, Christopher Walken, Skeet Ulrich, Tom Arnold, Gina Gershon, Lolita Davidovich",Comedy,1997,Comedy
Touch Me,H. Gordon Boos,"Amanda Peet, Michael Vartan, Peter Facinelli",Romance,1997,Romance
Tower of Terror,D.J. MacHale,"Steve Guttenberg, Kirsten Dunst",Horror,1997,Horror
Traveller,Jack N. Green,"Bill Paxton, Mark Wahlberg, Julianna Margulies",Crime drama,1997,Crime drama
Trial and Error,Jonathan Lynn,"Michael Richards, Jeff Daniels, Charlize Theron",Comedy,1997,Comedy
Trojan War,George Huang,"Will Friedle, Jennifer Love Hewitt",Comedy,1997,Comedy
"Truth or Consequences, N.M.",Kiefer Sutherland,"Kiefer Sutherland, Kevin Pollak, Kim Dickens, Grace Phillips",Drama,1997,Drama
Turbo: A Power Rangers Movie,Jonathan Tzachor,"Johnny Yong Bosch, Nakia Burrise, Jason David Frank, Catherine Sutherland",Fantasy,1997,Fantasy
Turbulence,Robert Butler,"Ray Liotta, Lauren Holly, Hector Elizondo, Rachel Ticotin, Catherine Hicks, Brendan Gleeson",Action,1997,Action
The Twilight of the Golds,Rosss Kagan Marks,"Jennifer Beals, Brendan Fraser",Drama,1997,Drama
Twisted,Seth Michael Donsky,"William Hickey, Billy Porter",Drama,1997,Drama
Wag the Dog,Barry Levinson,"Dustin Hoffman, Robert De Niro, Woody Harrelson, Anne Heche, Denis Leary, Willie Nelson",Comedy,1997,Comedy
Waiting for Guffman,Christopher Guest,"Eugene Levy, Catherine O'Hara, Christopher Guest, Fred Willard, Parker Posey",Mockumentary,1997,Mockumentary
Washington Square,Agnieszka Holland,"Jennifer Jason Leigh, Ben Chaplin, Albert Finney, Maggie Smith",Drama,1997,Drama
Weapons of Mass Distraction,Stephen Surjik,"Ben Kingsley, Gabriel Byrne, Mimi Rogers, Jeffrey Tambor, Chris Mulkey, Illeana Douglas",Comedy,1997,Comedy
Welcome to Sarajevo,Michael Winterbottom,"Stephen Dillane, Woody Harrelson, Marisa Tomei",Drama,1997,Drama
