Title,Director,Cast,Genre,Year,new_Genre
He Wrote a Book,William Garwood,"William Garwood, Edward Brady",Comedy,1916,Comedy
His Picture,William Garwood,"William Garwood, Violet Mersereau, Clara Beyers",Comedy,1916,Comedy
Lillo of the Sulu Seas,Tom Ricketts,"Harold Lockwood, May Allison",Romance,1916,Romance
Lonesome Luke Leans to the Literary,Hal Roach,"Harold Lloyd, Bebe Daniels",Short comedy,1916,Short comedy
Lonesome Luke Lolls in Luxury,Hal Roach,"Harold Lloyd, Bebe Daniels",Short comedy,1916,Short comedy
"Lonesome Luke, Circus King",Hal Roach,"Harold Lloyd, Bebe Daniels",Short comedy,1916,Short comedy
Luke and the Bang-Tails,Hal Roach,Harold Lloyd,Short comedy,1916,Short comedy
Luke and the Bomb Throwers,Hal Roach,Harold Lloyd,Short comedy,1916,Short comedy
Luke and the Mermaids,Hal Roach,Harold Lloyd,Short comedy,1916,Short comedy
Luke and the Rural Roughnecks,Hal Roach,Harold Lloyd,Short comedy,1916,Short comedy
Luke Does the Midway,Hal Roach,Harold Lloyd,Short comedy,1916,Short comedy
Luke Foils the Villain,Hal Roach,Harold Lloyd,Short comedy,1916,Short comedy
Luke Joins the Navy,Hal Roach,Harold Lloyd,Short comedy,1916,Short comedy
Luke Laughs Last,Hal Roach,Harold Lloyd,Short comedy,1916,Short comedy
Luke Locates the Loot,Hal Roach,Harold Lloyd,Short comedy,1916,Short comedy
Luke Lugs Luggage,Hal Roach,Harold Lloyd,Short comedy,1916,Short comedy
Luke Pipes the Pippins,Hal Roach,Harold Lloyd,Short comedy,1916,Short comedy
Luke Rides Roughshod,Hal Roach,Harold Lloyd,Short comedy,1916,Short comedy
"Luke, Crystal Gazer",Hal Roach,Harold Lloyd,Short comedy,1916,Short comedy
"Luke, Patient Provider",Hal Roach,Harold Lloyd,Short comedy,1916,Short comedy
"Luke, Rank Impersonator",Hal Roach,Harold Lloyd,Short comedy,1916,Short comedy
"Luke, the Candy Cut-Up",Hal Roach,Harold Lloyd,Short comedy,1916,Short comedy
"Luke, the Chauffeur",Hal Roach,Harold Lloyd,Short comedy,1916,Short comedy
"Luke, the Gladiator",Hal Roach,Harold Lloyd,Short comedy,1916,Short comedy
Luke's Double,Hal Roach,Harold Lloyd,Short comedy,1916,Short comedy
Luke's Fatal Flivver,Hal Roach,Harold Lloyd,Short comedy,1916,Short comedy
Luke's Fireworks Fizzle,Hal Roach,Harold Lloyd,Short comedy,1916,Short comedy
Luke's Late Lunchers,Hal Roach,Harold Lloyd,Short comedy,1916,Short comedy
Luke's Lost Lamb,Hal Roach,Harold Lloyd,Short comedy,1916,Short comedy
Luke's Movie Muddle,Hal Roach,Harold Lloyd,Short comedy,1916,Short comedy
Luke's Newsie Knockout,Hal Roach,Harold Lloyd,Short comedy,1916,Short comedy
Luke's Preparedness Preparations,Hal Roach,Harold Lloyd,Short comedy,1916,Short comedy
Luke's Shattered Sleep,Hal Roach,Harold Lloyd,Short comedy,1916,Short comedy
Luke's Society Mixup,Hal Roach,Harold Lloyd,Short comedy,1916,Short comedy
Luke's Speedy Club Life,Hal Roach,Harold Lloyd,Short comedy,1916,Short comedy
Luke's Washful Waiting,Hal Roach,Harold Lloyd,Short comedy,1916,Short comedy
Matching Dreams,B. Reeves Eason,"Sylvia Ashton, Vivian Rich",Short comedy,1916,Short comedy
The Moonshiners,"Roscoe ""Fatty"" Arbuckle","Joe Bordeaux, J. Herbert Frank",Short comedy,1916,Short comedy
The Mystery of the Leaping Fish,"John Emerson, Christy Cabanne","Douglas Fairbanks, Bessie Love, Alma Rubens",Short comedy,1916,Short comedy
One A.M.,Charlie Chaplin,Charlie Chaplin,Short comedy,1916,Short comedy
The Pawnshop,Charlie Chaplin,"Charlie Chaplin, Edna Purviance, Henry Bergman",Short comedy,1916,Short comedy
Police,Charlie Chaplin,"Charlie Chaplin, Edna Purviance, Wesley Ruggles",Short comedy,1916,Short comedy
The Release of Dan Forbes,Donald MacDonald,"Helene Rosson, William Stowell, Harry von Meter",Drama,1916,Drama
The Rink,Charlie Chaplin,"Charlie Chaplin, Edna Purviance",Short comedy,1916,Short comedy
A Sanitarium Scramble,B. Reeves Eason,Sylvia Ashton,Comedy,1916,Comedy
The Secret Wire,Thomas Ricketts,"Harold Lockwood, May Allison",Romance,1916,Romance
The Smugglers of Santa Cruz,Donald MacDonald,Charlotte Burton,Drama,1916,Drama
A Society Sherlock,William Garwood,"William Garwood, Irma Dawkins",Comedy,1916,Comedy
A Soul at Stake,William Garwood,"Andrew Arbuckle, Lois Wilson",Drama,1916,Drama
Stampede in the Night,Jacques Jaccard,"Hoot Gibson, Olive Carey",Western,1916,Western
Them Was the Happy Days!,Hal Roach,"Harold Lloyd, Bebe Daniels",Comedy,1916,Comedy
Three Fingered Jenny,Edward LeSaint,"William Garwood, Stella LeSaint, Carmen Phillips",Mystery,1916,Mystery
Time and Tide,B. Reeves Eason,Hugh Bennett,Drama,1916,Drama
Two Seats at the Opera,William Garwood,William J. Welsh,Comedy,1916,Comedy
The Vagabond,Charles Chaplin,"Charles Chaplin, Edna Purviance",Comedy,1916,Comedy
Viviana,B. Reeves Eason,Sylvia Ashton,Drama,1916,Drama
Adventures of Carol,Harley Knoles,"Madge Evans, George MacQuarrie, Rosina Henley",Drama,1917,Drama
An Alabaster Box,Chester Withey,"Alice Joyce, Marc McDermott, Harry Ham",Drama,1917,Drama
The Angel Factory,Lawrence B. McGill,"Antonio Moreno, Helene Chadwick, Armand Cortes",Drama,1917,Drama
The Apple Tree Girl,Alan Crosland,"Shirley Mason, Raymond McKee",Drama,1917,Drama
Arsene Lupin,Paul Scardon,"Earle Williams, Brinsley Shaw",Mystery,1917,Mystery
As Man Made Her,George Archainbaud,"Gail Kane, Edward Langford, Gerda Holmes",Drama,1917,Drama
As Men Love,E. Mason Hopper,"House Peters Sr., Myrtle Stedman, Jack W. Johnston",Drama,1917,Drama
At First Sight,Robert Z. Leonard,"Mae Murray, Sam Hardy",Comedy,1917,Comedy
The Awakening,George Archainbaud,"Montagu Love, Dorothy Kelly",Drama,1917,Drama
The Babes in the Woods,"Sidney Franklin, Chester Franklin","Francis Carpenter, Virginia Lee Corbin",Fantasy,1917,Fantasy
The Bad Boy,Chester Withey,"Robert Harron, Richard Cummings",Crime drama,1917,Crime drama
The Barricade,Edwin Carewe,"Mabel Taliaferro, Frank Currier, Clifford Bruce",Drama,1917,Drama
Because of a Woman,Jack Conway,"Belle Bennett, George Chesebro",Drama,1917,Drama
The Bitter Truth,Kenean Buel,"Virginia Pearson, William H. Tooker",Drama,1917,Drama
Black Orchids,Rex Ingram,"Cleo Madison, Francis McDonald",Drama,1917,Drama
Blind Man's Luck,George Fitzmaurice,"Helene Chadwick, Mollie King, Earle Foxe",Drama,1917,Drama
Bond of Fear,Jack Conway,"Roy Stewart, Belle Bennett, Melbourne MacDowell",Western,1917,Western
The Bondage of Fear,Travers Vale,"Ethel Clayton, Edward Kimball",Drama,1917,Drama
The Book Agent,Otis Turner,"George Walsh, Doris Pawn",Comedy,1917,Comedy
The Bottom of the Well,John S. Robertson,"Agnes Ayres, Adele DeGarde, Herbert Prior",Drama,1917,Drama
The Brand of Satan,George Archainbaud,"Montagu Love, Gerda Holmes, Evelyn Greeley",Horror,1917,Horror
The Bride of Hate,Walter Edwards,"Frank Keenan, Margery Wilson, Jerome Storm",Drama,1917,Drama
The Bride's Silence,Henry King,"Gail Kane, Lew Cody",Drama,1917,Drama
Bucking Broadway,John Ford,"Harry Carey, Molly Malone",Western,1917,Western
The Burglar,Harley Knoles,"Carlyle Blackwell, Madge Evans, Evelyn Greeley",Drama,1917,Drama
Camille,J. Gordon Edwards,"Theda Bara, Alan Roscoe",Drama,1917,Drama
The Candy Girl,Eugene Moore,"Gladys Hulette, J.H. Gilmour",Drama,1917,Drama
The Charmer,Jack Conway,"Ella Hall, Belle Bennett, Martha Mattox",Drama,1917,Drama
Cheerful Givers,Paul Powell,"Bessie Love, Kenneth Harlan",Comedy,1917,Comedy
Chicken Casey,Raymond B. West,"Dorothy Dalton, Charles Gunn, Howard Hickman",Drama,1917,Drama
Chris and His Wonderful Lamp,Alan Crosland,"Claire Adams, William Wadsworth",Fantasy,1917,Fantasy
Cleopatra,J. Gordon Edwards,"Theda Bara, Fritz Leiber Sr., Thurston Hall",Historical,1917,Historical
Come Through,Jack Conway,"Alice Lake, Herbert Rawlinson",Crime,1917,Crime
The Corner Grocer,George Cowl,"Lew Fields, Madge Evans",Drama,1917,Drama
The Courage of Silence,William P.S. Earle,"Alice Joyce, Harry T. Morey",Drama,1917,Drama
Crime and Punishment,Lawrence B. McGill,"Derwent Hall Caine, Lydia Knott",Crime,1917,Crime
The Crimson Dove,Romaine Fielding,"Carlyle Blackwell, June Elvidge",Drama,1917,Drama
A Crooked Romance,William Parke,"Gladys Hulette, J.H. Gilmour",Drama,1917,Drama
The Dancer's Peril,Travers Vale,"Alice Brady, Montagu Love",Romance,1917,Romance
Darkest Russia,Travers Vale,"Alice Brady, John Bowers",Drama,1917,Drama
A Daughter of the Poor,Edward Dillon,"Bessie Love, George Beranger",Drama,1917,Drama
The Devil-Stone,Cecil B. DeMille,"Geraldine Farrar, Wallace Reid",Romance,1917,Romance
Diamonds and Pearls,George Archainbaud,"Kitty Gordon, Milton Sills, George MacQuarrie",Drama,1917,Drama
The Divorce Game,Travers Vale,"Alice Brady, John Bowers, Arthur Ashley",Comedy,1917,Comedy
The Dormant Power,Travers Vale,"Ethel Clayton, Montagu Love, Muriel Ostriche",Drama,1917,Drama
The Double Room Mystery,Hobart Henley,"Hayward Mack, Ed Brady",Thriller,1917,Thriller
Down to Earth,John Emerson,"Douglas Fairbanks, Eileen Percy",Romantic comedy,1917,Romantic comedy
Easy Money,Travers Vale,"Ethel Clayton, John Bowers",Drama,1917,Drama
The Empress,Alice Guy,"Doris Kenyon, Holbrook Blinn",Drama,1917,Drama
Enlighten Thy Daughter,Ivan Abramson,"Frank Sheridan, Zena Keefe, Marie Shotwell",Drama,1917,Drama
Every Girl's Dream,Harry F. Millarde,"June Caprice, Kittens Reichert",Drama,1917,Drama
The False Friend,Harry Davenport,"Robert Warwick, Gail Kane",Drama,1917,Drama
The Family Honor,Emile Chautard,"Robert Warwick, June Elvidge, Henry Hull",Drama,1917,Drama
The Fettered Woman,Tom Terriss,"Alice Joyce, Webster Campbell, Donald MacBride",Drama,1917,Drama
Fighting for Love,Raymond Wells,"Ruth Stonehouse, Jack Mulhall, Jean Hersholt",Drama,1917,Drama
The Final Payment,Frank Powell,"Nance O'Neil, Clifford Bruce",Drama,1917,Drama
The Fires of Youth,Emile Chautard,"Frederick Warde, Helen Badgley",Drama,1917,Drama
The Flower of Doom,Rex Ingram,"Wedgwood Nowell, Yvette Mitchell",Drama,1917,Drama
A Game of Wits,Henry King,"Gail Kane, Lew Cody, George Periolat",Comedy drama,1917,Comedy drama
God's Crucible,Lynn Reynolds,"George Hernandez, Myrtle Gonzalez",Drama,1917,Drama
Golden Rule Kate,Reginald Barker,"Louise Glaum, William Conklin, John Gilbert",Western,1917,Western
The Good for Nothing,Carlyle Blackwell,"Carlyle Blackwell, Madge Evans, Evelyn Greeley",Drama,1917,Drama
Great Expectations,Robert G. Vignola,"Jack Pickford, Louise Huff",Drama,1917,Drama
The Gulf Between,Wray Physioc,"Grace Darmond, Niles Welch",Comedy drama,1917,Comedy drama
Hands Up!,Tod Browning,"Wilfred Lucas, Colleen Moore",Western,1917,Western
Her Beloved Enemy,Ernest C. Warde,"J.H. Gilmour, Gladys Leslie",Mystery,1917,Mystery
Her Life and His,Frederic Richard Sullivan,"Florence La Badie, Holmes Herbert, Ethyle Cooke",Drama,1917,Drama
Her New York,"Eugene Moore, O.A.C. Lund","Gladys Hulette, Riley Chamberlin",Drama,1917,Drama
Her Right to Live,Paul Scardon,"Peggy Hyland, Antonio Moreno",Drama,1917,Drama
Her Soul's Inspiration,Jack Conway,"Ella Hall, Edward Hearn",Drama,1917,Drama
The Hidden Children,Oscar Apfel,"Harold Lockwood, May Allison, Lillian West",Historical,1917,Historical
The Hidden Spring,E. Mason Hopper,"Harold Lockwood, Vera Sisson, Herbert Standing",Drama,1917,Drama
The Image Maker,Eugene Moore,"Valda Valkyrien, Morgan Jones",Drama,1917,Drama
"In Again, Out Again",John Emerson,"Douglas Fairbanks, Walter Walker, Arnold Lucy",Comedy,1917,Comedy
The Innocent Sinner,Raoul Walsh,"Miriam Cooper, Jack Standing, Jane Novak",Drama,1917,Drama
The Iron Ring,George Archainbaud,"Edward Langford, Gerda Holmes, Arthur Ashley",Drama,1917,Drama
The Island of Desire,Otis Turner,"George Walsh, Anna Luther",Adventure,1917,Adventure
It Happened to Adele,Van Dyke Brooke,"Gladys Leslie, Clarine Seymour",Drama,1917,Drama
Jack and the Beanstalk,"Sidney Franklin, Chester Franklin","Francis Carpenter, Virginia Lee Corbin",Fantasy,1917,Fantasy
A Jewel in Pawn,Jack Conway,"Ella Hall, Antrim Short",Drama,1917,Drama
Jim Bludso,Tod Browning,"Wilfred Lucas, Olga Grey",Drama,1917,Drama
The Jury of Fate,Tod Browning,"Mabel Taliaferro, Bradley Barker",Drama,1917,Drama
A Kentucky Cinderella,Rupert Julian,"Ruth Clifford, Harry Carter (actor)",Drama,1917,Drama
Kidnapped,Alan Crosland,"Raymond McKee, William Wadsworth",Adventure,1917,Adventure
The Lad and the Lion,Alfred E. Green,"Vivian Reed, Will Machin",Adventure,1917,Adventure
The Lady of the Photograph,Ben Turbett,"Shirley Mason, Raymond McKee, Gerald Pring",Comedy,1917,Comedy
The Land of the Long Shadows,W. S. Van Dyke,"Jack Gardner, Ruth King, Carl Stockdale",Western,1917,Western
The Last of the Carnabys,William Parke,"Gladys Hulette, J.H. Gilmour, Helene Chadwick",Drama,1917,Drama
The Light in Darkness,Alan Crosland,"Shirley Mason, Frank Morgan",Drama,1917,Drama
The Little American,Cecil B. DeMille,"Mary Pickford, Jack Holt, Raymond Hatton",War drama,1917,War drama
The Little Chevalier,Alan Crosland,"Shirley Mason, Raymond McKee",Historical,1917,Historical
The Little Duchess,Harley Knoles,"Madge Evans, Pinna Nesbit",Drama,1917,Drama
The Little Orphan,Jack Conway,"Ella Hall, Gertrude Astor, Gretchen Lederer",Drama,1917,Drama
The Little Patriot,William Bertram,"Marie Osborne, Herbert Standing",Drama,1917,Drama
Little Lost Sister,Alfred E. Green,"Vivian Reed, George Fawcett",Drama,1917,Drama
The Little Princess,Marshall Neilan,"Mary Pickford, Norman Kerry, ZaSu Pitts",Drama,1917,Drama
The Little Yank,George Siegmann,"Dorothy Gish, Frank Bennett",Historical,1917,Historical
Lost and Won,Cecil B. DeMille,"Marie Doro, Elliott Dexter",Drama,1917,Drama
A Love Sublime,Tod Browning,"Wilfred Lucas, Carmel Myers",Romance,1917,Romance
Love's Law,Tefft Johnson,"Joan Sawyer, Stuart Holmes, Olga Grey",Drama,1917,Drama
The Mad Lover,Léonce Perret,"Robert Warwick, Elaine Hammerstein",Drama,1917,Drama
Magda,Emile Chautard,"Clara Kimball Young, Alice Gale, Valda Valkyrien",Drama,1917,Drama
A Maid of Belgium,George Archainbaud,"Alice Brady, George MacQuarrie",Drama,1917,Drama
The Man Without a Country,Ernest C. Warde,"Florence La Badie, Holmes Herbert",Drama,1917,Drama
Man's Woman,Travers Vale,"Ethel Clayton, Rockliffe Fellowes, Edward Kimball",Drama,1917,Drama
The Mark of Cain,George Fitzmaurice,"Antonio Moreno, Irene Castle, J.H. Gilmour",Mystery,1917,Mystery
The Marriage Market,Arthur Ashley,"Carlyle Blackwell, June Elvidge",Drama,1917,Drama
The Mate of the Sally Ann,Henry King,"Mary Miles Minter, Allan Forrest",Comedy drama,1917,Comedy drama
Maternity,John B. O'Brien,"Alice Brady, John Bowers",Drama,1917,Drama
The Millionaire Vagrant,Victor Schertzinger,"Charles Ray, Sylvia Breamer, John Gilbert",Drama,1917,Drama
A Modern Cinderella,John G. Adolfi,"June Caprice, Frank Morgan",Drama,1917,Drama
A Modern Monte Cristo,Eugene Moore,"Vincent Serrano, Helen Badgley, Thomas A. Curran",Drama,1917,Drama
A Modern Musketeer,Allan Dwan,"Douglas Fairbanks, Marjorie Daw",Adventure,1917,Adventure
The Money Mill,John S. Robertson,"Dorothy Kelly, Edward Elkas, Charles Kent",Drama,1917,Drama
Moral Courage,Romaine Fielding,"Muriel Ostriche, Arthur Ashley",Drama,1917,Drama
A Mormon Maid,Robert Z. Leonard,"Mae Murray, Frank Borzage",Drama,1917,Drama
The Mother Instinct,"Lambert Hillyer, Roy William Neill","Enid Bennett, Rowland V. Lee, John Gilbert",Drama,1917,Drama
Mr. Dolan of New York,Raymond Wells,"Jack Mulhall, Noble Johnson",Drama,1917,Drama
"Nina, the Flower Girl",D. W. Griffith,"Bessie Love, Elmer Clifton, Bert Hadley",Drama,1917,Drama
On Record,Robert Z. Leonard,"Mae Murray, Tom Forman",Crime drama,1917,Crime drama
The On-the-Square Girl,George Fitzmaurice,"Mollie King, L. Rogers Lytton, Aimee Dalmores",Drama,1917,Drama
One Touch of Sin,Richard Stanton,"Gladys Brockwell, Jack Standing, Willard Louis",Drama,1917,Drama
Over the Hill,William Parke,"Gladys Hulette, Dan Mason",Drama,1917,Drama
Over There,James Kirkwood Sr.,"Charles Richman, Anna Q. Nilsson, Walter McGrail",War,1917,War
The Page Mystery,Harley Knoles,"Carlyle Blackwell, June Elvidge, Arthur Ashley",Mystery,1917,Mystery
Panthea,Allan Dwan,"Norma Talmadge, Earle Foxe",Drama,1917,Drama
"Peggy, the Will O' the Wisp",Tod Browning,"Mabel Taliaferro, Clara Blandick",Drama,1917,Drama
The Plow Woman,Charles Swickard,"Mary MacLaren, Lee Shumway, Kingsley Benedict",Drama,1917,Drama
Polly Ann,Charles Miller,"Bessie Love, Rowland V. Lee, Darrell Foss",Comedy,1917,Comedy
Polly Redhead,Jack Conway,"Ella Hall, Gertrude Astor, Charles Hill Mailes",Comedy,1917,Comedy
The Poor Little Rich Girl,Maurice Tourneur,"Mary Pickford, Madlaine Traverse, Charles Wellesley",Drama,1917,Drama
The Power of Decision,John W. Noble,"Frances Nelson, Richard Tucker, John Davidson",Drama,1917,Drama
The Price of Pride,Harley Knoles,"Carlyle Blackwell, June Elvidge",Western drama,1917,Western drama
The Price of Silence,Frank Lloyd,"William Farnum, Vivian Rich",Drama,1917,Drama
The Price She Paid,Charles Giblyn,"Clara Kimball Young, Louise Beaudet, Alan Hale",Drama,1917,Drama
The Primitive Call,Bertram Bracken,"Gladys Coburn, Fritz Leiber",Drama,1917,Drama
The Primrose Ring,Robert Z. Leonard,"Mae Murray, Tom Moore",Drama,1917,Drama
The Princess of Patches,Alfred E. Green,"Vivian Reed, Charles Le Moyne",Drama,1917,Drama
Princess Virtue,Robert Z. Leonard,"Mae Marsh, Wheeler Oakman",Drama,1917,Drama
The Promise,Jay Hunt,"Harold Lockwood, May Allison, Lester Cuneo",Drama,1917,Drama
Public Be Damned,Stanner E.V. Taylor,"Mary Fuller, Charles Richman",Drama,1917,Drama
The Pulse of Life,Rex Ingram,"Wedgwood Nowell, Molly Malone",Drama,1917,Drama
Reaching for the Moon,John Emerson,"Douglas Fairbanks, Eileen Percy",Adventure,1917,Adventure
Rebecca of Sunnybrook Farm,Marshall Neilan,Mary Pickford,Drama,1917,Drama
The Red Woman,Harry R. Durant,"Gail Kane, Mahlon Hamilton, June Elvidge",Western drama,1917,Western drama
The Reward of the Faithless,Rex Ingram,"Claire DuBray, Betty Schade, Wedgwood Nowell",Drama,1917,Drama
Richard the Brazen,Perry N. Vekroff,"Harry T. Morey, Alice Joyce, Agnes Ayres",Comedy,1917,Comedy
A Romance of the Redwoods,Cecil B. DeMille,"Mary Pickford, Elliott Dexter, Raymond Hatton",Drama,1917,Drama
Runaway Romany,George W. Lederer,"Marion Davies, Joseph Kilgour, Matt Moore",Drama,1917,Drama
The Sawdust Ring,"Charles Miller, Paul Powell","Bessie Love, Harold Goodwin",Drama,1917,Drama
Shall We Forgive Her?,Arthur Ashley,"June Elvidge, John Bowers, Shall We Forgive Her?",Drama,1917,Drama
Shirley Kaye,Joseph Kaufman,"Clara Kimball Young, George Fawcett",Drama,1917,Drama
Sister Against Sister,James Vincent,"Virginia Pearson, Walter Law",Drama,1917,Drama
The Sixteenth Wife,Charles Brabin,"Peggy Hyland, Marc McDermott",Comedy,1917,Comedy
The Social Leper,Harley Knoles,"Carlyle Blackwell, June Elvidge, Arthur Ashley",Drama,1917,Drama
Sold at Auction,Sherwood MacDonald,"Lois Meredith, William Conklin, Marguerite Nichols",Drama,1917,Drama
Some Boy!,Otis Turner,"George Walsh, Doris Pawn, Herschel Mayall",Comedy,1917,Comedy
The Soul of a Magdalen,Burton L. King,"Olga Petrova, Wyndham Standing, Mahlon Hamilton",Drama,1917,Drama
The Soul of Satan,Otis Turner,"Gladys Brockwell, Bertram Grassby, Charles Clary",Drama,1917,Drama
Souls Adrift,Harley Knoles,"Ethel Clayton, Milton Sills",Drama,1917,Drama
Souls in Pawn,Henry King,"Gail Kane, Douglas MacLean",Spy,1917,Spy
Souls Triumphant,John B. O'Brien,"Lillian Gish, Wilfred Lucas",Drama,1917,Drama
Southern Pride,Henry King,"Gail Kane, Lew Cody",Drama,1917,Drama
The Square Deceiver,Fred J. Balshofer,"Harold Lockwood, Pauline Curley, William Clifford",Comedy,1917,Comedy
The Spy,Richard Stanton,"Dustin Farnum, Winifred Kingston, William Burress",Thriller,1917,Thriller
A Square Deal,Harley Knoles,"Carlyle Blackwell, June Elvidge, Henry Hull",Drama,1917,Drama
The Stolen Paradise,Harley Knoles,"Ethel Clayton, Edward Langford, Pinna Nesbit",Drama,1917,Drama
Straight Shooting,John Ford,"Harry Carey, Molly Malone",Western,1917,Western
Stranded in Arcady,Frank Hall Crane,"Irene Castle, Elliott Dexter, George Majeroni",Adventure,1917,Adventure
A Strange Transgressor,Reginald Barker,"Louise Glaum, Colin Chase",Drama,1917,Drama
The Streets of Illusion,William Parke,"Gladys Hulette, J.H. Gilmour, Richard Barthelmess",Drama,1917,Drama
The Strong Way,George Kelson,"June Elvidge, John Bowers",Drama,1917,Drama
Sudden Jim,Victor Schertzinger,"Charles Ray, Sylvia Breamer",Drama,1917,Drama
Sylvia of the Secret Service,George Fitzmaurice,"Irene Castle, Elliott Dexter, Erich von Stroheim",Thriller,1917,Thriller
Tears and Smiles,William Bertram,"Marie Osborne, Philo McCullough",Drama,1917,Drama
Ten of Diamonds,Raymond B. West,"Dorothy Dalton, Jack Livingston, J. Barney Sherry",Drama,1917,Drama
The Tenth Case,George Kelson,"June Elvidge, John Bowers, George MacQuarrie",Drama,1917,Drama
The Tides of Fate,Marshall Farnum,"William Sheer, Charles E. Graham",Drama,1917,Drama
Told at Twilight,Henry King,"Marie Osborne, Beatrice Van",Drama,1917,Drama
Tom Sawyer,William Desmond Taylor,"Jack Pickford, Helen Gilmore, Clara Horton",Adventure,1917,Adventure
The Trufflers,Fred E. Wright,"Nell Craig, Sidney Ainsworth, Ernest Maupain",Drama,1917,Drama
Truthful Tulliver,William S. Hart,"William S. Hart, Alma Rubens, Nina Byron",Western,1917,Western
Twin Kiddies,Henry King,"Marie Osborne, Edward Josbon",Comedy drama,1917,Comedy drama
Two Little Imps,Kenean Buel,"Jane Lee, Leslie Austin",Comedy,1917,Comedy
Up or Down?,Lynn Reynolds,"George Hernandez, Fritzi Ridgeway, John Gilbert",Western,1917,Western
Vengeance Is Mine,Frank Hall Crane,"Irene Castle, Frank Sheridan, Helene Chadwick",Drama,1917,Drama
The Vicar of Wakefield,Ernest C. Warde,"Frederick Warde, Boyd Marshall, Kathryn Adams",Historical,1917,Historical
The Volunteer,Harley Knoles,"Madge Evans, Henry Hull, Muriel Ostriche",Drama,1917,Drama
The Waiting Soul,Burton L. King,"Olga Petrova, Mahlon Hamilton, Mathilde Brundage",Drama,1917,Drama
War and the Woman,Ernest C. Warde,"Florence La Badie, Grace Henderson",War,1917,War
The Weaker Sex,Raymond B. West,"Dorothy Dalton, Louise Glaum, Charles Ray",Drama,1917,Drama
Wee Lady Betty,"Charles Miller, Frank Borzage","Bessie Love, Frank Borzage, Charles K. French",Drama,1917,Drama
When False Tongues Speak,Carl Harbaugh,"Virginia Pearson, Hardee Kirkland, Claire Whitney",Drama,1917,Drama
When Love Was Blind,Frederic Richard Sullivan,"Florence La Badie, Thomas A. Curran, Boyd Marshall",Drama,1917,Drama
A Wife by Proxy,John H. Collins,"Mabel Taliaferro, Robert Walker, Sally Crute",Drama,1917,Drama
Wild and Woolly,John Emerson,"Douglas Fairbanks, Eileen Percy",Western comedy,1917,Western comedy
The Wild Girl,Howard Estabrook,"Eva Tanguay, Thomas J. Moore",Comedy drama,1917,Comedy drama
Within the Law,William P.S. Earle,"Alice Joyce Harry T. Morey, Adele DeGarde",Crime,1917,Crime
A Woman Alone,Harry Davenport,"Alice Brady, Edward Langford, Edward Kimball",Drama,1917,Drama
The Woman Beneath,Travers Vale,"Ethel Clayton, Crauford Kent",Drama,1917,Drama
The Woman God Forgot,Cecil B. DeMille,"Geraldine Farrar, Wallace Reid, Raymond Hatton",Historical,1917,Historical
Wooden Shoes,Raymond B. West,"Bessie Barriscale, Jack Livingston, Joseph J. Dowling",Drama,1917,Drama
Wrath of Love,James Vincent,"Virginia Pearson, Irving Cummings",Drama,1917,Drama
Yankee Pluck,George Archainbaud,"Ethel Clayton, Montagu Love, Johnny Hines",Drama,1917,Drama
The Yankee Way,Richard Stanton,"George Walsh, Enid Markey",Comedy,1917,Comedy
Youth,Romaine Fielding,"Carlyle Blackwell, June Elvidge, Johnny Hines",Drama,1917,Drama
The Adventurer,Charles Chaplin,"Charlie Chaplin, Edna Purviance",Comedy,1917,Comedy
All Aboard,Alfred J. Goulding,"Harold Lloyd, Bebe Daniels",Comedy,1917,Comedy
Bashful,Alfred J. Goulding,"Harold Lloyd, Bebe Daniels",Comedy,1917,Comedy
The Big Idea,Gilbert Pratt,"Harold Lloyd, Bebe Daniels",Comedy,1917,Comedy
Bliss,Alfred J. Goulding,"Harold Lloyd, Bebe Daniels",Comedy,1917,Comedy
The Butcher Boy,Fatty Arbuckle,"Fatty Arbuckle, Buster Keaton",Comedy,1917,Comedy
By the Sad Sea Waves,Alfred J. Goulding,Harold Lloyd,Comedy,1917,Comedy
Cheyenne's Pal,John Ford,"Harry Carey, Gertrude Astor",Western,1917,Western
Clubs Are Trump,Hal Roach,Harold Lloyd,Comedy,1917,Comedy
Coney Island,Fatty Arbuckle,"Fatty Arbuckle, Buster Keaton",Comedy,1917,Comedy
The Cure,Charlie Chaplin,"Charlie Chaplin, Edna Purviance, Eric Campbell",Comedy,1917,Comedy
Easy Street,Charles Chaplin,"Charlie Chaplin, Edna Purviance",Comedy,1917,Comedy
The Flirt,Billy Gilbert,"Harold Lloyd, Bebe Daniels",Comedy,1917,Comedy
From Laramie to London,Hal Roach,Harold Lloyd,Comedy,1917,Comedy
His Wedding Night,Roscoe Arbuckle,"Fatty Arbuckle, Buster Keaton",Comedy,1917,Comedy
The Immigrant,Charles Chaplin,"Charlie Chaplin, Edna Purviance",Comedy,1917,Comedy
"Lonesome Luke, Lawyer",Hal Roach,Harold Lloyd,Comedy short,1917,Comedy short
"Lonesome Luke, Mechanic",Hal Roach,Harold Lloyd,Comedy short,1917,Comedy short
"Lonesome Luke, Messenger",Hal Roach,Harold Lloyd,Comedy short,1917,Comedy short
"Lonesome Luke, Plumber",Hal Roach,Harold Lloyd,Comedy short,1917,Comedy short
Lonesome Luke Loses Patients,Hal Roach,Harold Lloyd,Comedy short,1917,Comedy short
Lonesome Luke on Tin Can Alley,Hal Roach,Harold Lloyd,Comedy short,1917,Comedy short
